                                                                               
{'loss': '0.06745', 'grad_norm': '1.219', 'learning_rate': '8.623e-06', 'epoch': '0.1294'}
{'loss': '0.04984', 'grad_norm': '0.05917', 'learning_rate': '8.769e-06', 'epoch': '0.1316'}
{'loss': '0.03977', 'grad_norm': '6.326', 'learning_rate': '8.915e-06', 'epoch': '0.1338'}
{'loss': '0.07061', 'grad_norm': '0.05557', 'learning_rate': '9.061e-06', 'epoch': '0.136'}
{'loss': '0.1008', 'grad_norm': '7.611', 'learning_rate': '9.208e-06', 'epoch': '0.1382'}
{'loss': '0.08155', 'grad_norm': '4.892', 'learning_rate': '9.354e-06', 'epoch': '0.1404'}
{'loss': '0.06185', 'grad_norm': '0.804', 'learning_rate': '9.5e-06', 'epoch': '0.1426'}
{'loss': '0.06039', 'grad_norm': '0.1478', 'learning_rate': '9.646e-06', 'epoch': '0.1448'}
{'loss': '0.091', 'grad_norm': '4.882', 'learning_rate': '9.792e-06', 'epoch': '0.1469'}
{'loss': '0.08017', 'grad_norm': '0.03813', 'learning_rate': '9.939e-06', 'epoch': '0.1491'}
{'loss': '0.0635', 'grad_norm': '0.5225', 'learning_rate': '1.008e-05', 'epoch': '0.1513'}
{'loss': '0.07878', 'grad_norm': '0.03957', 'learning_rate': '1.023e-05', 'epoch': '0.1535'}
{'loss': '0.0735', 'grad_norm': '0.288', 'learning_rate': '1.038e-05', 'epoch': '0.1557'}
{'loss': '0.0614', 'grad_norm': '10.93', 'learning_rate': '1.052e-05', 'epoch': '0.1579'}
{'loss': '0.05114', 'grad_norm': '0.1789', 'learning_rate': '1.067e-05', 'epoch': '0.1601'}
{'loss': '0.07762', 'grad_norm': '0.03268', 'learning_rate': '1.082e-05', 'epoch': '0.1623'}
{'loss': '0.06041', 'grad_norm': '0.02895', 'learning_rate': '1.096e-05', 'epoch': '0.1645'}
{'loss': '0.03847', 'grad_norm': '0.01838', 'learning_rate': '1.111e-05', 'epoch': '0.1667'}
{'loss': '0.04144', 'grad_norm': '0.0319', 'learning_rate': '1.125e-05', 'epoch': '0.1689'}
{'loss': '0.06377', 'grad_norm': '0.03822', 'learning_rate': '1.14e-05', 'epoch': '0.1711'}
{'loss': '0.05456', 'grad_norm': '0.02078', 'learning_rate': '1.155e-05', 'epoch': '0.1733'}
{'loss': '0.06222', 'grad_norm': '3.349', 'learning_rate': '1.169e-05', 'epoch': '0.1755'}
{'loss': '0.05008', 'grad_norm': '0.09086', 'learning_rate': '1.184e-05', 'epoch': '0.1777'}
{'loss': '0.0508', 'grad_norm': '5.713', 'learning_rate': '1.199e-05', 'epoch': '0.1798'}
{'loss': '0.08517', 'grad_norm': '6.664', 'learning_rate': '1.213e-05', 'epoch': '0.182'}
